goos: linux
goarch: amd64
pkg: github.com/AlexanderGrooff/ansible-jinja-go
cpu: 12th Gen Intel(R) Core(TM) i7-12700K
BenchmarkTemplateString/simple_variable-20      	 2522048	       473.4 ns/op	     280 B/op	      15 allocs/op
BenchmarkTemplateString/simple_variable-20      	 2541258	       474.1 ns/op	     280 B/op	      15 allocs/op
BenchmarkTemplateString/simple_variable-20      	 2512171	       470.7 ns/op	     280 B/op	      15 allocs/op
BenchmarkTemplateString/multiple_variables-20   	  983485	      1177 ns/op	     704 B/op	      35 allocs/op
BenchmarkTemplateString/multiple_variables-20   	  896853	      1173 ns/op	     704 B/op	      35 allocs/op
BenchmarkTemplateString/multiple_variables-20   	  959334	      1175 ns/op	     704 B/op	      35 allocs/op
BenchmarkTemplateString/nested_variables-20     	 1000000	      1011 ns/op	     696 B/op	      29 allocs/op
BenchmarkTemplateString/nested_variables-20     	 1000000	      1011 ns/op	     696 B/op	      29 allocs/op
BenchmarkTemplateString/nested_variables-20     	 1000000	      1012 ns/op	     696 B/op	      29 allocs/op
BenchmarkTemplateString/conditional-20          	  677511	      1678 ns/op	    1120 B/op	      41 allocs/op
BenchmarkTemplateString/conditional-20          	  688599	      1676 ns/op	    1120 B/op	      41 allocs/op
BenchmarkTemplateString/conditional-20          	  663736	      1686 ns/op	    1120 B/op	      41 allocs/op
BenchmarkTemplateString/large_template-20       	  233750	      4967 ns/op	    3234 B/op	     108 allocs/op
BenchmarkTemplateString/large_template-20       	  238130	      4969 ns/op	    3234 B/op	     108 allocs/op
BenchmarkTemplateString/large_template-20       	  238887	      4998 ns/op	    3234 B/op	     108 allocs/op
BenchmarkEvaluateExpression/simple_variable-20  	 7460206	       155.7 ns/op	     176 B/op	       3 allocs/op
BenchmarkEvaluateExpression/simple_variable-20  	 7672413	       153.6 ns/op	     176 B/op	       3 allocs/op
BenchmarkEvaluateExpression/simple_variable-20  	 7475440	       154.9 ns/op	     176 B/op	       3 allocs/op
BenchmarkEvaluateExpression/variable_with_default-20         	 1553121	       777.5 ns/op	     312 B/op	      17 allocs/op
BenchmarkEvaluateExpression/variable_with_default-20         	 1539079	       777.9 ns/op	     312 B/op	      17 allocs/op
BenchmarkEvaluateExpression/variable_with_default-20         	 1543984	       776.6 ns/op	     312 B/op	      17 allocs/op
BenchmarkTokenize/simple_expression-20                       	12062197	        98.61 ns/op	      96 B/op	       2 allocs/op
BenchmarkTokenize/simple_expression-20                       	12082158	        98.82 ns/op	      96 B/op	       2 allocs/op
BenchmarkTokenize/simple_expression-20                       	11551033	        99.95 ns/op	      96 B/op	       2 allocs/op
BenchmarkTokenize/dotted_expression-20                       	 4483684	       269.0 ns/op	     480 B/op	       4 allocs/op
BenchmarkTokenize/dotted_expression-20                       	 4481798	       268.3 ns/op	     480 B/op	       4 allocs/op
BenchmarkTokenize/dotted_expression-20                       	 4445520	       269.9 ns/op	     480 B/op	       4 allocs/op
BenchmarkTokenize/complex_expression-20                      	 2633072	       451.7 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/complex_expression-20                      	 2679403	       449.7 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/complex_expression-20                      	 2613782	       445.7 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/string_with_operators-20                   	 2859966	       418.0 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/string_with_operators-20                   	 2888090	       418.8 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/string_with_operators-20                   	 2821532	       423.2 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/logical_operators-20                       	 1698267	       703.3 ns/op	    2144 B/op	       6 allocs/op
BenchmarkTokenize/logical_operators-20                       	 1698949	       713.7 ns/op	    2144 B/op	       6 allocs/op
BenchmarkTokenize/logical_operators-20                       	 1705899	       723.1 ns/op	    2144 B/op	       6 allocs/op
BenchmarkParse/simple_expression-20                          	 8357836	       141.4 ns/op	     176 B/op	       3 allocs/op
BenchmarkParse/simple_expression-20                          	 8449160	       141.4 ns/op	     176 B/op	       3 allocs/op
BenchmarkParse/simple_expression-20                          	 8546056	       141.1 ns/op	     176 B/op	       3 allocs/op
BenchmarkParse/dotted_expression-20                          	 2180167	       540.4 ns/op	     824 B/op	      11 allocs/op
BenchmarkParse/dotted_expression-20                          	 2210313	       554.8 ns/op	     824 B/op	      11 allocs/op
BenchmarkParse/dotted_expression-20                          	 2127253	       554.7 ns/op	     824 B/op	      11 allocs/op
BenchmarkParse/complex_expression-20                         	  944906	      1213 ns/op	    2144 B/op	      28 allocs/op
BenchmarkParse/complex_expression-20                         	  951600	      1199 ns/op	    2144 B/op	      28 allocs/op
BenchmarkParse/complex_expression-20                         	  942102	      1221 ns/op	    2144 B/op	      28 allocs/op
BenchmarkParse/string_operations-20                          	 1662825	       718.7 ns/op	     968 B/op	      16 allocs/op
BenchmarkParse/string_operations-20                          	 1643668	       723.2 ns/op	     968 B/op	      16 allocs/op
BenchmarkParse/string_operations-20                          	 1623854	       720.5 ns/op	     968 B/op	      16 allocs/op
BenchmarkParse/complex_logical_expression-20                 	  664270	      1778 ns/op	    3544 B/op	      30 allocs/op
BenchmarkParse/complex_logical_expression-20                 	  661754	      1731 ns/op	    3544 B/op	      30 allocs/op
BenchmarkParse/complex_logical_expression-20                 	  690616	      1725 ns/op	    3544 B/op	      30 allocs/op
BenchmarkNestedDictionaryParsing/simple_nested_dict-20       	 1488219	       790.4 ns/op	    1632 B/op	      18 allocs/op
BenchmarkNestedDictionaryParsing/simple_nested_dict-20       	 1511673	       785.1 ns/op	    1632 B/op	      18 allocs/op
BenchmarkNestedDictionaryParsing/simple_nested_dict-20       	 1520552	       790.4 ns/op	    1632 B/op	      18 allocs/op
BenchmarkNestedDictionaryParsing/two_level_nested_dict-20    	 1000000	      1049 ns/op	    1912 B/op	      24 allocs/op
BenchmarkNestedDictionaryParsing/two_level_nested_dict-20    	 1000000	      1048 ns/op	    1912 B/op	      24 allocs/op
BenchmarkNestedDictionaryParsing/two_level_nested_dict-20    	 1000000	      1047 ns/op	    1912 B/op	      24 allocs/op
BenchmarkNestedDictionaryParsing/three_level_nested_dict-20  	  833259	      1417 ns/op	    3344 B/op	      31 allocs/op
BenchmarkNestedDictionaryParsing/three_level_nested_dict-20  	  812895	      1432 ns/op	    3344 B/op	      31 allocs/op
BenchmarkNestedDictionaryParsing/three_level_nested_dict-20  	  789518	      1439 ns/op	    3344 B/op	      31 allocs/op
BenchmarkNestedDictionaryParsing/complex_nested_dict-20      	  407092	      2764 ns/op	    6816 B/op	      57 allocs/op
BenchmarkNestedDictionaryParsing/complex_nested_dict-20      	  421623	      2759 ns/op	    6816 B/op	      57 allocs/op
BenchmarkNestedDictionaryParsing/complex_nested_dict-20      	  432339	      2751 ns/op	    6816 B/op	      57 allocs/op
BenchmarkNestedDictionaryParsing/nested_dict_with_mixed_types-20         	  482886	      2425 ns/op	    4464 B/op	      53 allocs/op
BenchmarkNestedDictionaryParsing/nested_dict_with_mixed_types-20         	  503378	      2399 ns/op	    4464 B/op	      53 allocs/op
BenchmarkNestedDictionaryParsing/nested_dict_with_mixed_types-20         	  495050	      2425 ns/op	    4464 B/op	      53 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access-20                      	 1401435	       863.4 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access-20                      	 1404888	       861.4 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access-20                      	 1405231	       861.1 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access_alt-20                  	 1399086	       859.1 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access_alt-20                  	 1393944	       856.3 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access_alt-20                  	 1381341	       856.2 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/mixed_access_methods-20                 	 1392348	       861.9 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/mixed_access_methods-20                 	 1392919	       860.9 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/mixed_access_methods-20                 	 1387548	       867.7 ns/op	    1512 B/op	      16 allocs/op
BenchmarkParseAndEvaluateTokens/simple_variable-20                       	 8176420	       147.9 ns/op	     176 B/op	       3 allocs/op
BenchmarkParseAndEvaluateTokens/simple_variable-20                       	 8107785	       148.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkParseAndEvaluateTokens/simple_variable-20                       	 7897225	       147.2 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_chain-20           	 1507045	       796.8 ns/op	    1424 B/op	      14 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_chain-20           	 1513046	       792.7 ns/op	    1424 B/op	      14 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_chain-20           	 1506848	       794.2 ns/op	    1424 B/op	      14 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_with_list_index-20 	 7729275	       155.4 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_with_list_index-20 	 7220065	       154.9 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_with_list_index-20 	 7622140	       156.2 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/very_deep_access_chain-20      	 6973543	       172.1 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/very_deep_access_chain-20      	 6957924	       172.1 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/very_deep_access_chain-20      	 6913801	       173.6 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/mixed_subscript_and_attribute_access-20         	 6810907	       175.2 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/mixed_subscript_and_attribute_access-20         	 6786309	       175.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/mixed_subscript_and_attribute_access-20         	 6794444	       176.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/complex_expression_with_nested_dicts-20         	 1208401	       990.5 ns/op	    1616 B/op	      19 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/complex_expression_with_nested_dicts-20         	 1207632	       992.9 ns/op	    1616 B/op	      19 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/complex_expression_with_nested_dicts-20         	 1212072	       984.1 ns/op	    1616 B/op	      19 allocs/op
BenchmarkTemplateParser/simple_template-20                                                	 6040641	       197.9 ns/op	     152 B/op	       6 allocs/op
BenchmarkTemplateParser/simple_template-20                                                	 5945964	       197.5 ns/op	     152 B/op	       6 allocs/op
BenchmarkTemplateParser/simple_template-20                                                	 6071017	       197.0 ns/op	     152 B/op	       6 allocs/op
BenchmarkTemplateParser/complex_template-20                                               	 1987616	       598.7 ns/op	     504 B/op	      17 allocs/op
BenchmarkTemplateParser/complex_template-20                                               	 2006700	       609.8 ns/op	     504 B/op	      17 allocs/op
BenchmarkTemplateParser/complex_template-20                                               	 1956087	       605.8 ns/op	     504 B/op	      17 allocs/op
BenchmarkTemplateParser/mixed_content-20                                                  	 2185094	       544.7 ns/op	     536 B/op	      14 allocs/op
BenchmarkTemplateParser/mixed_content-20                                                  	 2191195	       547.1 ns/op	     536 B/op	      14 allocs/op
BenchmarkTemplateParser/mixed_content-20                                                  	 2197758	       549.0 ns/op	     536 B/op	      14 allocs/op
BenchmarkNestedDictionaryTemplates/simple_nested_access-20                                	 2120593	       567.8 ns/op	     344 B/op	      14 allocs/op
