goos: linux
goarch: amd64
pkg: github.com/AlexanderGrooff/ansible-jinja-go/pkg/ansiblejinja
cpu: 12th Gen Intel(R) Core(TM) i7-12700K
BenchmarkTemplateString/simple_variable-20      	 2580111	       465.2 ns/op	     280 B/op	      15 allocs/op
BenchmarkTemplateString/simple_variable-20      	 2578060	       466.8 ns/op	     280 B/op	      15 allocs/op
BenchmarkTemplateString/simple_variable-20      	 2595460	       463.4 ns/op	     280 B/op	      15 allocs/op
BenchmarkTemplateString/multiple_variables-20   	  972446	      1178 ns/op	     704 B/op	      35 allocs/op
BenchmarkTemplateString/multiple_variables-20   	  967344	      1174 ns/op	     704 B/op	      35 allocs/op
BenchmarkTemplateString/multiple_variables-20   	  987864	      1174 ns/op	     704 B/op	      35 allocs/op
BenchmarkTemplateString/nested_variables-20     	 1000000	      1000 ns/op	     696 B/op	      29 allocs/op
BenchmarkTemplateString/nested_variables-20     	 1201407	       999.8 ns/op	     696 B/op	      29 allocs/op
BenchmarkTemplateString/nested_variables-20     	 1000000	      1001 ns/op	     696 B/op	      29 allocs/op
BenchmarkTemplateString/conditional-20          	  687614	      1666 ns/op	    1120 B/op	      41 allocs/op
BenchmarkTemplateString/conditional-20          	  693201	      1670 ns/op	    1120 B/op	      41 allocs/op
BenchmarkTemplateString/conditional-20          	  683012	      1662 ns/op	    1120 B/op	      41 allocs/op
BenchmarkTemplateString/large_template-20       	  238081	      4937 ns/op	    3234 B/op	     108 allocs/op
BenchmarkTemplateString/large_template-20       	  240704	      4945 ns/op	    3234 B/op	     108 allocs/op
BenchmarkTemplateString/large_template-20       	  239256	      4955 ns/op	    3234 B/op	     108 allocs/op
BenchmarkEvaluateExpression/simple_variable-20  	 7781462	       154.2 ns/op	     176 B/op	       3 allocs/op
BenchmarkEvaluateExpression/simple_variable-20  	 7757830	       154.4 ns/op	     176 B/op	       3 allocs/op
BenchmarkEvaluateExpression/simple_variable-20  	 7719169	       154.6 ns/op	     176 B/op	       3 allocs/op
BenchmarkEvaluateExpression/variable_with_default-20         	 1618552	       739.3 ns/op	     312 B/op	      17 allocs/op
BenchmarkEvaluateExpression/variable_with_default-20         	 1617226	       739.4 ns/op	     312 B/op	      17 allocs/op
BenchmarkEvaluateExpression/variable_with_default-20         	 1595674	       740.1 ns/op	     312 B/op	      17 allocs/op
BenchmarkTokenize/simple_expression-20                       	12330817	        97.23 ns/op	      96 B/op	       2 allocs/op
BenchmarkTokenize/simple_expression-20                       	12118867	        97.34 ns/op	      96 B/op	       2 allocs/op
BenchmarkTokenize/simple_expression-20                       	12247562	        98.45 ns/op	      96 B/op	       2 allocs/op
BenchmarkTokenize/dotted_expression-20                       	 4567249	       260.6 ns/op	     480 B/op	       4 allocs/op
BenchmarkTokenize/dotted_expression-20                       	 4602037	       261.3 ns/op	     480 B/op	       4 allocs/op
BenchmarkTokenize/dotted_expression-20                       	 4552279	       262.7 ns/op	     480 B/op	       4 allocs/op
BenchmarkTokenize/complex_expression-20                      	 2710126	       443.1 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/complex_expression-20                      	 2696703	       441.7 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/complex_expression-20                      	 2704654	       443.9 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/string_with_operators-20                   	 2887057	       411.5 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/string_with_operators-20                   	 2917376	       413.7 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/string_with_operators-20                   	 2891559	       414.7 ns/op	    1008 B/op	       9 allocs/op
BenchmarkTokenize/logical_operators-20                       	 1713170	       702.3 ns/op	    2144 B/op	       6 allocs/op
BenchmarkTokenize/logical_operators-20                       	 1724778	       697.3 ns/op	    2144 B/op	       6 allocs/op
BenchmarkTokenize/logical_operators-20                       	 1702254	       692.6 ns/op	    2144 B/op	       6 allocs/op
BenchmarkParse/simple_expression-20                          	 8643984	       140.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkParse/simple_expression-20                          	 8591562	       139.6 ns/op	     176 B/op	       3 allocs/op
BenchmarkParse/simple_expression-20                          	 8454450	       140.0 ns/op	     176 B/op	       3 allocs/op
BenchmarkParse/dotted_expression-20                          	 2247697	       535.3 ns/op	     824 B/op	      11 allocs/op
BenchmarkParse/dotted_expression-20                          	 2240025	       533.3 ns/op	     824 B/op	      11 allocs/op
BenchmarkParse/dotted_expression-20                          	 2254260	       532.4 ns/op	     824 B/op	      11 allocs/op
BenchmarkParse/complex_expression-20                         	  946938	      1156 ns/op	    2144 B/op	      28 allocs/op
BenchmarkParse/complex_expression-20                         	  983574	      1163 ns/op	    2144 B/op	      28 allocs/op
BenchmarkParse/complex_expression-20                         	  985173	      1168 ns/op	    2144 B/op	      28 allocs/op
BenchmarkParse/string_operations-20                          	 1667611	       719.6 ns/op	     968 B/op	      16 allocs/op
BenchmarkParse/string_operations-20                          	 1661137	       720.1 ns/op	     968 B/op	      16 allocs/op
BenchmarkParse/string_operations-20                          	 1668726	       722.7 ns/op	     968 B/op	      16 allocs/op
BenchmarkParse/complex_logical_expression-20                 	  678652	      1715 ns/op	    3544 B/op	      30 allocs/op
BenchmarkParse/complex_logical_expression-20                 	  686276	      1706 ns/op	    3544 B/op	      30 allocs/op
BenchmarkParse/complex_logical_expression-20                 	  623965	      1709 ns/op	    3544 B/op	      30 allocs/op
BenchmarkNestedDictionaryParsing/simple_nested_dict-20       	 1539802	       808.8 ns/op	    1632 B/op	      18 allocs/op
BenchmarkNestedDictionaryParsing/simple_nested_dict-20       	 1397386	       845.2 ns/op	    1632 B/op	      18 allocs/op
BenchmarkNestedDictionaryParsing/simple_nested_dict-20       	 1479885	       799.4 ns/op	    1632 B/op	      18 allocs/op
BenchmarkNestedDictionaryParsing/two_level_nested_dict-20    	 1000000	      1058 ns/op	    1912 B/op	      24 allocs/op
BenchmarkNestedDictionaryParsing/two_level_nested_dict-20    	 1000000	      1054 ns/op	    1912 B/op	      24 allocs/op
BenchmarkNestedDictionaryParsing/two_level_nested_dict-20    	 1000000	      1046 ns/op	    1912 B/op	      24 allocs/op
BenchmarkNestedDictionaryParsing/three_level_nested_dict-20  	  855687	      1411 ns/op	    3344 B/op	      31 allocs/op
BenchmarkNestedDictionaryParsing/three_level_nested_dict-20  	  769807	      1414 ns/op	    3344 B/op	      31 allocs/op
BenchmarkNestedDictionaryParsing/three_level_nested_dict-20  	  833907	      1413 ns/op	    3344 B/op	      31 allocs/op
BenchmarkNestedDictionaryParsing/complex_nested_dict-20      	  433380	      2820 ns/op	    6816 B/op	      57 allocs/op
BenchmarkNestedDictionaryParsing/complex_nested_dict-20      	  399144	      2781 ns/op	    6816 B/op	      57 allocs/op
BenchmarkNestedDictionaryParsing/complex_nested_dict-20      	  440664	      2738 ns/op	    6816 B/op	      57 allocs/op
BenchmarkNestedDictionaryParsing/nested_dict_with_mixed_types-20         	  492099	      2368 ns/op	    4464 B/op	      53 allocs/op
BenchmarkNestedDictionaryParsing/nested_dict_with_mixed_types-20         	  479595	      2363 ns/op	    4464 B/op	      53 allocs/op
BenchmarkNestedDictionaryParsing/nested_dict_with_mixed_types-20         	  500386	      2444 ns/op	    4464 B/op	      53 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access-20                      	 1357605	       920.0 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access-20                      	 1352646	       858.2 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access-20                      	 1414281	       853.7 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access_alt-20                  	 1415030	       850.1 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access_alt-20                  	 1407637	       852.6 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/deep_dot_access_alt-20                  	 1403145	       851.0 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/mixed_access_methods-20                 	 1393368	       853.5 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/mixed_access_methods-20                 	 1402761	       854.2 ns/op	    1512 B/op	      16 allocs/op
BenchmarkNestedDictionaryParsing/mixed_access_methods-20                 	 1407025	       851.6 ns/op	    1512 B/op	      16 allocs/op
BenchmarkParseAndEvaluateTokens/simple_variable-20                       	 8136639	       146.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkParseAndEvaluateTokens/simple_variable-20                       	 8088262	       147.0 ns/op	     176 B/op	       3 allocs/op
BenchmarkParseAndEvaluateTokens/simple_variable-20                       	 8177671	       148.1 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_chain-20           	 1471952	       794.7 ns/op	    1424 B/op	      14 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_chain-20           	 1500663	       796.5 ns/op	    1424 B/op	      14 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_chain-20           	 1515169	       786.7 ns/op	    1424 B/op	      14 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_with_list_index-20 	 7862182	       151.3 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_with_list_index-20 	 7868178	       151.4 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_with_list_index-20 	 7939594	       153.1 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/very_deep_access_chain-20      	 7002218	       170.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/very_deep_access_chain-20      	 7068214	       170.2 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/very_deep_access_chain-20      	 7061392	       170.0 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/mixed_subscript_and_attribute_access-20         	 6940296	       173.0 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/mixed_subscript_and_attribute_access-20         	 6889165	       173.0 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/mixed_subscript_and_attribute_access-20         	 6817569	       173.9 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/complex_expression_with_nested_dicts-20         	 1229865	       979.6 ns/op	    1616 B/op	      19 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/complex_expression_with_nested_dicts-20         	 1228563	       976.6 ns/op	    1616 B/op	      19 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/complex_expression_with_nested_dicts-20         	 1225821	       975.9 ns/op	    1616 B/op	      19 allocs/op
BenchmarkTemplateParser/simple_template-20                                                	 6009043	       198.4 ns/op	     152 B/op	       6 allocs/op
BenchmarkTemplateParser/simple_template-20                                                	 6004579	       198.4 ns/op	     152 B/op	       6 allocs/op
BenchmarkTemplateParser/simple_template-20                                                	 6079041	       198.8 ns/op	     152 B/op	       6 allocs/op
BenchmarkTemplateParser/complex_template-20                                               	 1993090	       594.8 ns/op	     504 B/op	      17 allocs/op
BenchmarkTemplateParser/complex_template-20                                               	 2021368	       602.5 ns/op	     504 B/op	      17 allocs/op
